DATE,TMIN
10/17/2012,42
10/18/2012,41
10/19/2012,45
10/20/2012,45
10/21/2012,42
10/22/2012,42
10/23/2012,41
10/24/2012,34
10/25/2012,28
10/26/2012,22
10/27/2012,28
10/28/2012,35
10/29/2012,40
10/30/2012,42
10/31/2012,42
11/1/2012,42
11/2/2012,42
11/3/2012,38
11/4/2012,37
11/5/2012,43
11/6/2012,44
11/7/2012,42
11/8/2012,39
11/9/2012,33
11/10/2012,17
11/11/2012,13
11/12/2012,12
11/13/2012,26
11/14/2012,29
11/15/2012,32
11/16/2012,37
11/17/2012,34
11/18/2012,33
11/19/2012,32
11/20/2012,34
11/21/2012,38
11/22/2012,37
11/23/2012,36
11/24/2012,35
11/25/2012,35
11/26/2012,33
11/27/2012,31
11/28/2012,34
11/29/2012,36
11/30/2012,34
12/1/2012,35
12/2/2012,35
12/3/2012,34
12/4/2012,30
12/5/2012,34
12/6/2012,35
12/7/2012,30
12/8/2012,27
12/9/2012,10
12/10/2012,7
12/11/2012,15
12/12/2012,19
12/13/2012,27
12/14/2012,24
12/15/2012,20
12/16/2012,12
12/17/2012,12
12/18/2012,20
12/19/2012,8
12/20/2012,7
12/21/2012,23
12/22/2012,27
12/23/2012,26
12/24/2012,18
12/25/2012,14
12/26/2012,15
12/27/2012,13
12/28/2012,9
12/29/2012,8
12/30/2012,19
12/31/2012,11
1/1/2013,7
1/2/2013,5
1/3/2013,9
1/4/2013,11
1/5/2013,10
1/6/2013,25
1/7/2013,27
1/8/2013,25
1/9/2013,29
1/10/2013,25
1/11/2013,1
1/12/2013,-1
1/13/2013,-2
1/14/2013,1
1/15/2013,-1
1/16/2013,5
1/17/2013,25
1/18/2013,25
1/19/2013,24
1/20/2013,25
1/21/2013,26
1/22/2013,27
1/23/2013,32
1/24/2013,33
1/25/2013,31
1/26/2013,31
1/27/2013,31
1/28/2013,16
1/29/2013,10
1/30/2013,10
1/31/2013,18
2/1/2013,21
2/2/2013,23
2/3/2013,28
2/4/2013,24
2/5/2013,23
2/6/2013,29
2/7/2013,23
2/8/2013,28
2/9/2013,14
2/10/2013,15
2/11/2013,10
2/12/2013,8
2/13/2013,12
2/14/2013,17
2/15/2013,21
2/16/2013,19
2/17/2013,26
2/18/2013,20
2/19/2013,20
2/20/2013,17
2/21/2013,16
2/22/2013,13
2/23/2013,10
2/24/2013,9
2/25/2013,18
2/26/2013,17
2/27/2013,12
2/28/2013,16
3/1/2013,28
3/2/2013,31
3/3/2013,35
3/4/2013,26
3/5/2013,24
3/6/2013,32
3/7/2013,35
3/8/2013,27
3/9/2013,17
3/10/2013,21
3/11/2013,26
3/12/2013,30
3/13/2013,34
